Date,Type,Name,Start,End,Duration
19/06/18,place,Home,2018-06-19T00:00:00+01:00,2018-06-19T09:56:15+01:00,35775
19/06/18,move,cycling,2018-06-19T09:56:15+01:00,2018-06-19T10:09:40+01:00,805
19/06/18,place,Work,2018-06-19T10:09:41+01:00,2018-06-19T13:04:16+01:00,10475
19/06/18,move,walking,2018-06-19T13:04:16+01:00,2018-06-19T13:09:02+01:00,286
19/06/18,place,Place in Edinburgh,2018-06-19T13:09:02+01:00,2018-06-19T13:26:33+01:00,1051
19/06/18,move,walking,2018-06-19T13:26:33+01:00,2018-06-19T13:33:14+01:00,401
19/06/18,place,Work,2018-06-19T13:33:15+01:00,2018-06-19T16:51:53+01:00,11918
19/06/18,move,walking,2018-06-19T16:51:53+01:00,2018-06-19T17:03:37+01:00,704
19/06/18,place,"Place in New Town, Edinburgh",2018-06-19T17:03:37+01:00,2018-06-19T17:54:54+01:00,3077
19/06/18,move,walking,2018-06-19T17:54:54+01:00,2018-06-19T17:57:56+01:00,182
19/06/18,place,"Place in New Town, Edinburgh",2018-06-19T17:57:56+01:00,2018-06-19T18:06:23+01:00,507
19/06/18,move,walking,2018-06-19T18:06:23+01:00,2018-06-19T18:10:23+01:00,240
19/06/18,move,transport,2018-06-19T18:10:24+01:00,2018-06-19T18:38:12+01:00,1668
19/06/18,place,Home,2018-06-19T18:38:13+01:00,2018-06-20T00:00:00+01:00,19307
