Date,Type,Name,Start,End,Duration
31/08/16,place,"Place in Slateford, Slateford",2016-08-31T09:43:58+01:00,2016-08-31T09:50:31+01:00,393
31/08/16,move,cycling,2016-08-31T09:50:31+01:00,2016-08-31T10:07:27+01:00,1016
31/08/16,place,Work,2016-08-31T10:07:27+01:00,2016-08-31T12:34:39+01:00,8832
31/08/16,move,walking,2016-08-31T12:34:39+01:00,2016-08-31T12:39:15+01:00,276
31/08/16,place,Work,2016-08-31T12:39:16+01:00,2016-08-31T12:42:50+01:00,214
31/08/16,move,walking,2016-08-31T12:42:50+01:00,2016-08-31T12:47:34+01:00,284
31/08/16,place,Work,2016-08-31T12:47:34+01:00,2016-08-31T20:42:37+01:00,28503
31/08/16,move,cycling,2016-08-31T20:42:37+01:00,2016-08-31T21:02:35+01:00,1198
31/08/16,place,"Place in Slateford, Slateford",2016-08-31T21:02:36+01:00,2016-09-01T00:00:00+01:00,10644
01/09/16,place,"Place in Slateford, Slateford",2016-09-01T00:00:00+01:00,2016-09-01T09:59:43+01:00,35983
01/09/16,move,cycling,2016-09-01T09:59:43+01:00,2016-09-01T10:15:53+01:00,970
01/09/16,place,Work,2016-09-01T10:15:53+01:00,2016-09-01T19:07:45+01:00,31912
01/09/16,move,cycling,2016-09-01T19:07:45+01:00,2016-09-01T19:27:51+01:00,1206
01/09/16,place,"Place in Slateford, Slateford",2016-09-01T19:27:52+01:00,2016-09-01T20:59:39+01:00,5507
01/09/16,move,transport,2016-09-01T20:59:39+01:00,2016-09-01T21:04:59+01:00,320
01/09/16,place,"Place in Craiglockhart, Edinburgh",2016-09-01T21:04:59+01:00,2016-09-01T22:24:19+01:00,4760
01/09/16,move,transport,2016-09-01T22:24:19+01:00,2016-09-01T22:27:13+01:00,174
01/09/16,place,"Place in Slateford, Slateford",2016-09-01T22:27:14+01:00,2016-09-02T00:00:00+01:00,5566
02/09/16,place,"Place in Slateford, Slateford",2016-09-02T00:00:00+01:00,2016-09-02T03:14:37+01:00,11677
18/06/18,place,Work,2018-06-18T13:17:58+01:00,2018-06-18T16:47:04+01:00,12546
18/06/18,move,walking,2018-06-18T16:47:04+01:00,2018-06-18T16:51:28+01:00,264
18/06/18,place,Costa Coffee,2018-06-18T16:51:29+01:00,2018-06-18T17:30:15+01:00,2326
18/06/18,move,walking,2018-06-18T17:30:15+01:00,2018-06-18T17:34:25+01:00,250
18/06/18,place,Work,2018-06-18T17:34:26+01:00,2018-06-18T19:38:46+01:00,7460
18/06/18,move,cycling,2018-06-18T19:38:46+01:00,2018-06-18T19:50:37+01:00,711
18/06/18,place,Home,2018-06-18T19:50:37+01:00,2018-06-19T00:00:00+01:00,14963
19/06/18,place,Home,2018-06-19T00:00:00+01:00,2018-06-19T09:56:15+01:00,35775
19/06/18,move,cycling,2018-06-19T09:56:15+01:00,2018-06-19T10:09:40+01:00,805
19/06/18,place,Work,2018-06-19T10:09:41+01:00,2018-06-19T13:04:16+01:00,10475
19/06/18,move,walking,2018-06-19T13:04:16+01:00,2018-06-19T13:09:02+01:00,286
19/06/18,place,Place in Edinburgh,2018-06-19T13:09:02+01:00,2018-06-19T13:26:33+01:00,1051
19/06/18,move,walking,2018-06-19T13:26:33+01:00,2018-06-19T13:33:14+01:00,401
19/06/18,place,Work,2018-06-19T13:33:15+01:00,2018-06-19T16:51:53+01:00,11918
19/06/18,move,walking,2018-06-19T16:51:53+01:00,2018-06-19T17:03:37+01:00,704
19/06/18,place,"Place in New Town, Edinburgh",2018-06-19T17:03:37+01:00,2018-06-19T17:54:54+01:00,3077
19/06/18,move,walking,2018-06-19T17:54:54+01:00,2018-06-19T17:57:56+01:00,182
19/06/18,place,"Place in New Town, Edinburgh",2018-06-19T17:57:56+01:00,2018-06-19T18:06:23+01:00,507
19/06/18,move,walking,2018-06-19T18:06:23+01:00,2018-06-19T18:10:23+01:00,240
19/06/18,move,transport,2018-06-19T18:10:24+01:00,2018-06-19T18:38:12+01:00,1668
19/06/18,place,Home,2018-06-19T18:38:13+01:00,2018-06-20T00:00:00+01:00,19307
20/06/18,place,Home,2018-06-20T00:00:00+01:00,2018-06-20T10:38:57+01:00,38337
20/06/18,move,walking,2018-06-20T10:38:57+01:00,2018-06-20T10:45:54+01:00,417
20/06/18,place,"Place in Shandon, Edinburgh",2018-06-20T10:45:54+01:00,2018-06-20T10:46:53+01:00,59
20/06/18,move,walking,2018-06-20T10:46:53+01:00,2018-06-20T10:51:05+01:00,252
20/06/18,place,Home,2018-06-20T10:51:06+01:00,2018-06-20T13:12:31+01:00,8485
