Date,Activity,Group,Duration,Distance,Steps,Calories
31/08/16,walking,walking,1385,0.784,1830,0
31/08/16,cycling,cycling,2214,7.642,0,0
01/09/16,walking,walking,383,0.185,597,0
01/09/16,cycling,cycling,2176,7.532,0,0
01/09/16,transport,transport,494,1.833,0,0
02/09/16,walking,walking,29,0.009,20,0
18/06/18,walking,walking,1360,0.779,2035,0
18/06/18,cycling,cycling,711,2.244,0,0
19/06/18,walking,walking,3519,2.472,5468,0
19/06/18,cycling,cycling,805,2.411,0,0
19/06/18,transport,transport,1668,4.333,0,0
20/06/18,walking,walking,1233,0.606,1556,0
