Date,Activity,Group,Start,End,Duration,Distance,Steps,Calories
31/08/16,walking,walking,2016-08-31T09:46:45+01:00,2016-08-31T09:47:12+01:00,27,0.012,40,0
31/08/16,cycling,cycling,2016-08-31T09:50:31+01:00,2016-08-31T10:07:27+01:00,1016,3.735,0,0
31/08/16,walking,walking,2016-08-31T10:10:17+01:00,2016-08-31T10:12:09+01:00,112,0.052,168,0
31/08/16,walking,walking,2016-08-31T11:44:54+01:00,2016-08-31T11:46:27+01:00,93,0.035,112,0
31/08/16,walking,walking,2016-08-31T12:34:39+01:00,2016-08-31T12:39:15+01:00,276,0.139,446,0
31/08/16,walking,walking,2016-08-31T12:41:09+01:00,2016-08-31T12:41:36+01:00,27,0.012,40,0
31/08/16,walking,walking,2016-08-31T12:42:50+01:00,2016-08-31T12:47:34+01:00,284,0.250,429,0
31/08/16,walking,walking,2016-08-31T13:53:35+01:00,2016-08-31T13:53:55+01:00,20,0.009,30,0
31/08/16,walking,walking,2016-08-31T15:13:11+01:00,2016-08-31T15:14:16+01:00,65,0.025,83,0
31/08/16,walking,walking,2016-08-31T17:12:31+01:00,2016-08-31T17:13:03+01:00,32,0.011,34,0
31/08/16,walking,walking,2016-08-31T20:38:28+01:00,2016-08-31T20:41:17+01:00,169,0.079,161,0
31/08/16,cycling,cycling,2016-08-31T20:42:37+01:00,2016-08-31T21:02:35+01:00,1198,3.907,0,0
31/08/16,walking,walking,2016-08-31T21:03:50+01:00,2016-08-31T21:05:53+01:00,123,0.086,185,0
31/08/16,walking,walking,2016-08-31T22:08:09+01:00,2016-08-31T22:10:46+01:00,157,0.073,102,0
