Date,Type,Name,Start,End,Duration
01/09/16,place,"Place in Slateford, Slateford",2016-09-01T00:00:00+01:00,2016-09-01T09:59:43+01:00,35983
01/09/16,move,cycling,2016-09-01T09:59:43+01:00,2016-09-01T10:15:53+01:00,970
01/09/16,place,Work,2016-09-01T10:15:53+01:00,2016-09-01T19:07:45+01:00,31912
01/09/16,move,cycling,2016-09-01T19:07:45+01:00,2016-09-01T19:27:51+01:00,1206
01/09/16,place,"Place in Slateford, Slateford",2016-09-01T19:27:52+01:00,2016-09-01T20:59:39+01:00,5507
01/09/16,move,transport,2016-09-01T20:59:39+01:00,2016-09-01T21:04:59+01:00,320
01/09/16,place,"Place in Craiglockhart, Edinburgh",2016-09-01T21:04:59+01:00,2016-09-01T22:24:19+01:00,4760
01/09/16,move,transport,2016-09-01T22:24:19+01:00,2016-09-01T22:27:13+01:00,174
01/09/16,place,"Place in Slateford, Slateford",2016-09-01T22:27:14+01:00,2016-09-02T00:00:00+01:00,5566
02/09/16,place,"Place in Slateford, Slateford",2016-09-02T00:00:00+01:00,2016-09-02T03:14:37+01:00,11677
