Date,Type,Name,Start,End,Duration
18/06/18,place,Work,2018-06-18T13:17:58+01:00,2018-06-18T16:47:04+01:00,12546
18/06/18,move,walking,2018-06-18T16:47:04+01:00,2018-06-18T16:51:28+01:00,264
18/06/18,place,Costa Coffee,2018-06-18T16:51:29+01:00,2018-06-18T17:30:15+01:00,2326
18/06/18,move,walking,2018-06-18T17:30:15+01:00,2018-06-18T17:34:25+01:00,250
18/06/18,place,Work,2018-06-18T17:34:26+01:00,2018-06-18T19:38:46+01:00,7460
18/06/18,move,cycling,2018-06-18T19:38:46+01:00,2018-06-18T19:50:37+01:00,711
18/06/18,place,Home,2018-06-18T19:50:37+01:00,2018-06-19T00:00:00+01:00,14963
19/06/18,place,Home,2018-06-19T00:00:00+01:00,2018-06-19T09:56:15+01:00,35775
19/06/18,move,cycling,2018-06-19T09:56:15+01:00,2018-06-19T10:09:40+01:00,805
19/06/18,place,Work,2018-06-19T10:09:41+01:00,2018-06-19T13:04:16+01:00,10475
19/06/18,move,walking,2018-06-19T13:04:16+01:00,2018-06-19T13:09:02+01:00,286
19/06/18,place,Place in Edinburgh,2018-06-19T13:09:02+01:00,2018-06-19T13:26:33+01:00,1051
19/06/18,move,walking,2018-06-19T13:26:33+01:00,2018-06-19T13:33:14+01:00,401
19/06/18,place,Work,2018-06-19T13:33:15+01:00,2018-06-19T16:51:53+01:00,11918
19/06/18,move,walking,2018-06-19T16:51:53+01:00,2018-06-19T17:03:37+01:00,704
19/06/18,place,"Place in New Town, Edinburgh",2018-06-19T17:03:37+01:00,2018-06-19T17:54:54+01:00,3077
19/06/18,move,walking,2018-06-19T17:54:54+01:00,2018-06-19T17:57:56+01:00,182
19/06/18,place,"Place in New Town, Edinburgh",2018-06-19T17:57:56+01:00,2018-06-19T18:06:23+01:00,507
19/06/18,move,walking,2018-06-19T18:06:23+01:00,2018-06-19T18:10:23+01:00,240
19/06/18,move,transport,2018-06-19T18:10:24+01:00,2018-06-19T18:38:12+01:00,1668
19/06/18,place,Home,2018-06-19T18:38:13+01:00,2018-06-20T00:00:00+01:00,19307
20/06/18,place,Home,2018-06-20T00:00:00+01:00,2018-06-20T10:38:57+01:00,38337
20/06/18,move,walking,2018-06-20T10:38:57+01:00,2018-06-20T10:45:54+01:00,417
20/06/18,place,"Place in Shandon, Edinburgh",2018-06-20T10:45:54+01:00,2018-06-20T10:46:53+01:00,59
20/06/18,move,walking,2018-06-20T10:46:53+01:00,2018-06-20T10:51:05+01:00,252
20/06/18,place,Home,2018-06-20T10:51:06+01:00,2018-06-20T13:12:31+01:00,8485
