Date,Type,Name,Start,End,Duration
31/08/16,place,"Place in Slateford, Slateford",2016-08-31T09:43:58+01:00,2016-08-31T09:50:31+01:00,393
31/08/16,move,cycling,2016-08-31T09:50:31+01:00,2016-08-31T10:07:27+01:00,1016
31/08/16,place,Work,2016-08-31T10:07:27+01:00,2016-08-31T12:34:39+01:00,8832
31/08/16,move,walking,2016-08-31T12:34:39+01:00,2016-08-31T12:39:15+01:00,276
31/08/16,place,Work,2016-08-31T12:39:16+01:00,2016-08-31T12:42:50+01:00,214
31/08/16,move,walking,2016-08-31T12:42:50+01:00,2016-08-31T12:47:34+01:00,284
31/08/16,place,Work,2016-08-31T12:47:34+01:00,2016-08-31T20:42:37+01:00,28503
31/08/16,move,cycling,2016-08-31T20:42:37+01:00,2016-08-31T21:02:35+01:00,1198
31/08/16,place,"Place in Slateford, Slateford",2016-08-31T21:02:36+01:00,2016-09-01T00:00:00+01:00,10644
01/09/16,place,"Place in Slateford, Slateford",2016-09-01T00:00:00+01:00,2016-09-01T09:59:43+01:00,35983
01/09/16,move,cycling,2016-09-01T09:59:43+01:00,2016-09-01T10:15:53+01:00,970
01/09/16,place,Work,2016-09-01T10:15:53+01:00,2016-09-01T19:07:45+01:00,31912
01/09/16,move,cycling,2016-09-01T19:07:45+01:00,2016-09-01T19:27:51+01:00,1206
01/09/16,place,"Place in Slateford, Slateford",2016-09-01T19:27:52+01:00,2016-09-01T20:59:39+01:00,5507
01/09/16,move,transport,2016-09-01T20:59:39+01:00,2016-09-01T21:04:59+01:00,320
01/09/16,place,"Place in Craiglockhart, Edinburgh",2016-09-01T21:04:59+01:00,2016-09-01T22:24:19+01:00,4760
01/09/16,move,transport,2016-09-01T22:24:19+01:00,2016-09-01T22:27:13+01:00,174
01/09/16,place,"Place in Slateford, Slateford",2016-09-01T22:27:14+01:00,2016-09-02T00:00:00+01:00,5566
02/09/16,place,"Place in Slateford, Slateford",2016-09-02T00:00:00+01:00,2016-09-02T03:14:37+01:00,11677
